"Election","HINDI","Jurisdiction","AbsenteeApplications","BallotsSent","BallotsReturned","InPersonAbsentee"
"2020 General Election","67142","VILLAGE OF KEWASKUM - MULTIPLE COUNTIES","1565","1564","1500","771"
"2020 General Election","67161","VILLAGE OF NEWBURG - MULTIPLE COUNTIES","298","298","272","121"
"2020 General Election","67166","VILLAGE OF RICHFIELD - WASHINGTON COUNTY","6292","6290","6161","3584"
"2020 General Election","67181","VILLAGE OF SLINGER - WASHINGTON COUNTY","2517","2516","2441","1284"
"2020 General Election","67236","CITY OF HARTFORD - MULTIPLE COUNTIES","5838","5833","5643","2656"
"2020 General Election","67291","CITY OF WEST BEND - WASHINGTON COUNTY","12559","12547","12034","4945"
"2020 General Election","68002","TOWN OF BROOKFIELD - WAUKESHA COUNTY","3444","3441","3322","1387"
"2020 General Election","68004","TOWN OF DELAFIELD - WAUKESHA COUNTY","4526","4523","4329","2041"
"2020 General Election","68006","TOWN OF EAGLE - WAUKESHA COUNTY","1604","1603","1484","729"
"2020 General Election","68008","TOWN OF GENESEE - WAUKESHA COUNTY","4057","4055","3946","2083"
"2020 General Election","68010","TOWN OF LISBON - WAUKESHA COUNTY","5310","5296","5071","2237"
"2020 General Election","68014","TOWN OF MERTON - WAUKESHA COUNTY","4459","4457","4294","2115"
"2020 General Election","68016","TOWN OF MUKWONAGO - WAUKESHA COUNTY","3895","3880","3762","1826"
"2020 General Election","68022","TOWN OF OCONOMOWOC - WAUKESHA COUNTY","4436","4435","4249","1812"
"2020 General Election","68024","TOWN OF OTTAWA - WAUKESHA COUNTY","1963","1959","1888","892"
"2020 General Election","68106","VILLAGE OF BIG BEND - WAUKESHA COUNTY","397","390","306","116"
"2020 General Election","68107","VILLAGE OF BUTLER - WAUKESHA COUNTY","628","619","561","225"
"2020 General Election","68111","VILLAGE OF CHENEQUA - WAUKESHA COUNTY","244","241","234","109"
"2020 General Election","68116","VILLAGE OF DOUSMAN - WAUKESHA COUNTY","927","897","851","343"
"2020 General Election","68121","VILLAGE OF EAGLE - WAUKESHA COUNTY","793","789","748","460"
"2020 General Election","68122","VILLAGE OF ELM GROVE - WAUKESHA COUNTY","3695","3693","3544","1600"
"2020 General Election","68136","VILLAGE OF HARTLAND - WAUKESHA COUNTY","4403","4398","4278","1972"
"2020 General Election","68146","VILLAGE OF LAC LA BELLE - MULTIPLE COUNTIES","108","103","77","0"
"2020 General Election","68147","VILLAGE OF LANNON - WAUKESHA COUNTY","336","322","282","123"
"2020 General Election","68151","VILLAGE OF MENOMONEE FALLS - WAUKESHA COUNTY","19604","19600","18959","7353"
"2020 General Election","68152","VILLAGE OF MERTON - WAUKESHA COUNTY","1408","1396","1210","569"
"2020 General Election","68153","VILLAGE OF MUKWONAGO - MULTIPLE COUNTIES","3553","3553","3420","1654"
"2020 General Election","68158","VILLAGE OF NASHOTAH - WAUKESHA COUNTY","608","576","504","133"
"2020 General Election","68161","VILLAGE OF NORTH PRAIRIE - WAUKESHA COUNTY","853","852","810","446"
"2020 General Election","68166","VILLAGE OF OCONOMOWOC LAKE - WAUKESHA COUNTY","243","235","210","99"
"2020 General Election","68171","VILLAGE OF PEWAUKEE - WAUKESHA COUNTY","3810","3802","3677","1671"
"2020 General Election","68172","VILLAGE OF SUMMIT - WAUKESHA COUNTY","2718","2714","2629","1167"
"2020 General Election","68181","VILLAGE OF SUSSEX - WAUKESHA COUNTY","5468","5466","5305","2897"
"2020 General Election","68186","VILLAGE OF VERNON - WAUKESHA COUNTY","4072","4068","3949","2101"
"2020 General Election","68191","VILLAGE OF WALES - WAUKESHA COUNTY","1293","1291","1157","498"
"2020 General Election","68195","VILLAGE OF WAUKESHA - WAUKESHA COUNTY","4606","4599","4414","2028"
"2020 General Election","68206","CITY OF BROOKFIELD - WAUKESHA COUNTY","21653","21642","20937","7101"
"2020 General Election","68216","CITY OF DELAFIELD - WAUKESHA COUNTY","3708","3707","3524","1551"
"2020 General Election","68251","CITY OF MUSKEGO - WAUKESHA COUNTY","12960","12956","12615","5775"
"2020 General Election","68261","CITY OF NEW BERLIN - WAUKESHA COUNTY","20220","20214","19475","8213"
"2020 General Election","68265","CITY OF OCONOMOWOC - WAUKESHA COUNTY","8672","8667","8256","2825"
"2020 General Election","68270","CITY OF PEWAUKEE - WAUKESHA COUNTY","7926","7922","7683","3195"
"2020 General Election","68291","CITY OF WAUKESHA - WAUKESHA COUNTY","27696","27676","26135","7364"
"2020 General Election","69002","TOWN OF BEAR CREEK - WAUPACA COUNTY","104","104","91","19"
"2020 General Election","69004","TOWN OF CALEDONIA - WAUPACA COUNTY","536","536","490","157"
"2020 General Election","69006","TOWN OF DAYTON - WAUPACA COUNTY","898","898","840","381"
"2020 General Election","69008","TOWN OF DUPONT - WAUPACA COUNTY","73","73","59","14"
"2020 General Election","69010","TOWN OF FARMINGTON - WAUPACA COUNTY","1560","1560","1451","504"
"2020 General Election","69012","TOWN OF FREMONT - WAUPACA COUNTY","198","198","192","95"
"2020 General Election","69014","TOWN OF HARRISON - WAUPACA COUNTY","85","85","71","5"
"2020 General Election","69016","TOWN OF HELVETIA - WAUPACA COUNTY","111","111","102","24"
"2020 General Election","69018","TOWN OF IOLA - WAUPACA COUNTY","218","217","179","36"
"2020 General Election","69020","TOWN OF LARRABEE - WAUPACA COUNTY","246","246","204","29"
"2020 General Election","69022","TOWN OF LEBANON - WAUPACA COUNTY","298","297","249","45"
"2020 General Election","69024","TOWN OF LIND - WAUPACA COUNTY","378","378","325","77"
"2020 General Election","69026","TOWN OF LITTLE WOLF - WAUPACA COUNTY","423","422","398","169"
"2020 General Election","69028","TOWN OF MATTESON - WAUPACA COUNTY","184","184","167","31"
"2020 General Election","69030","TOWN OF MUKWA - WAUPACA COUNTY","865","863","791","146"
"2020 General Election","69032","TOWN OF ROYALTON - WAUPACA COUNTY","274","272","230","48"
"2020 General Election","69034","TOWN OF SAINT LAWRENCE - WAUPACA COUNTY","143","141","123","10"
"2020 General Election","69036","TOWN OF SCANDINAVIA - WAUPACA COUNTY","295","294","265","36"
"2020 General Election","69038","TOWN OF UNION - WAUPACA COUNTY","116","116","100","27"
"2020 General Election","69040","TOWN OF WAUPACA - WAUPACA COUNTY","303","303","282","112"
"2020 General Election","69042","TOWN OF WEYAUWEGA - WAUPACA COUNTY","83","82","71","10"
"2020 General Election","69044","TOWN OF WYOMING - WAUPACA COUNTY","55","55","38","3"
"2020 General Election","69106","VILLAGE OF BIG FALLS - WAUPACA COUNTY","4","4","4","0"
"2020 General Election","69121","VILLAGE OF EMBARRASS - WAUPACA COUNTY","39","39","33","11"
"2020 General Election","69126","VILLAGE OF FREMONT - WAUPACA COUNTY","172","172","152","0"
"2020 General Election","69141","VILLAGE OF IOLA - WAUPACA COUNTY","362","362","337","160"
"2020 General Election","69165","VILLAGE OF OGDENSBURG - WAUPACA COUNTY","25","25","19","4"
"2020 General Election","69181","VILLAGE OF SCANDINAVIA - WAUPACA COUNTY","68","68","63","4"
"2020 General Election","69211","CITY OF CLINTONVILLE - WAUPACA COUNTY","1018","1018","948","292"
"2020 General Election","69251","CITY OF MANAWA - WAUPACA COUNTY","212","212","189","88"
"2020 General Election","69252","CITY OF MARION - MULTIPLE COUNTIES","252","251","230","97"
"2020 General Election","69261","CITY OF NEW LONDON - MULTIPLE COUNTIES","1561","1559","1435","582"
"2020 General Election","69291","CITY OF WAUPACA - WAUPACA COUNTY","1841","1841","1739","555"
"2020 General Election","69292","CITY OF WEYAUWEGA - WAUPACA COUNTY","312","311","289","101"
"2020 General Election","70002","TOWN OF AURORA - WAUSHARA COUNTY","214","214","176","29"
"2020 General Election","70004","TOWN OF BLOOMFIELD - WAUSHARA COUNTY","191","191","163","18"
"2020 General Election","70006","TOWN OF COLOMA - WAUSHARA COUNTY","147","146","108","25"
"2020 General Election","70008","TOWN OF DAKOTA - WAUSHARA COUNTY","221","219","190","40"
"2020 General Election","70010","TOWN OF DEERFIELD - WAUSHARA COUNTY","151","129","123","17"
"2020 General Election","70012","TOWN OF HANCOCK - WAUSHARA COUNTY","109","107","96","22"
"2020 General Election","70014","TOWN OF LEON - WAUSHARA COUNTY","353","353","293","46"
"2020 General Election","70016","TOWN OF MARION - WAUSHARA COUNTY","761","759","706","235"
"2020 General Election","70018","TOWN OF MOUNT MORRIS - WAUSHARA COUNTY","303","302","244","36"
"2020 General Election","70020","TOWN OF OASIS - WAUSHARA COUNTY","66","66","49","6"
"2020 General Election","70022","TOWN OF PLAINFIELD - WAUSHARA COUNTY","84","84","57","4"
"2020 General Election","70024","TOWN OF POY SIPPI - WAUSHARA COUNTY","157","157","150","13"
"2020 General Election","70026","TOWN OF RICHFORD - WAUSHARA COUNTY","76","75","58","16"
"2020 General Election","70028","TOWN OF ROSE - WAUSHARA COUNTY","161","160","136","16"
"2020 General Election","70030","TOWN OF SAXEVILLE - WAUSHARA COUNTY","212","212","187","16"
"2020 General Election","70032","TOWN OF SPRINGWATER - WAUSHARA COUNTY","403","401","370","79"
"2020 General Election","70034","TOWN OF WARREN - WAUSHARA COUNTY","100","99","83","13"
"2020 General Election","70036","TOWN OF WAUTOMA - WAUSHARA COUNTY","355","354","324","73"
"2020 General Election","70111","VILLAGE OF COLOMA - WAUSHARA COUNTY","73","70","57","9"
"2020 General Election","70136","VILLAGE OF HANCOCK - WAUSHARA COUNTY","44","44","39","7"
"2020 General Election","70146","VILLAGE OF LOHRVILLE - WAUSHARA COUNTY","32","32","28","6"
"2020 General Election","70171","VILLAGE OF PLAINFIELD - WAUSHARA COUNTY","112","112","95","19"
"2020 General Election","70176","VILLAGE OF REDGRANITE - WAUSHARA COUNTY","127","126","113","30"
"2020 General Election","70191","VILLAGE OF WILD ROSE - WAUSHARA COUNTY","189","189","169","49"
"2020 General Election","70291","CITY OF WAUTOMA - WAUSHARA COUNTY","331","331","303","98"
"2020 General Election","71002","TOWN OF ALGOMA - WINNEBAGO COUNTY","3191","3189","3110","1008"
"2020 General Election","71004","TOWN OF BLACK WOLF - WINNEBAGO COUNTY","1020","1018","984","398"
"2020 General Election","71006","TOWN OF CLAYTON - WINNEBAGO COUNTY","2126","2125","2052","824"
"2020 General Election","71010","TOWN OF NEENAH - WINNEBAGO COUNTY","1710","1707","1640","602"
"2020 General Election","71012","TOWN OF NEKIMI - WINNEBAGO COUNTY","362","362","340","124"
"2020 General Election","71014","TOWN OF NEPEUSKUN - WINNEBAGO COUNTY","135","135","116","47"
