"Election","HINDI","Jurisdiction","AbsenteeApplications","BallotsSent","BallotsReturned","InPersonAbsentee"
"2020 General Election","13026","TOWN OF DUNKIRK - DANE COUNTY","712","710","671","214"
"2020 General Election","13028","TOWN OF DUNN - DANE COUNTY","2744","2743","2670","1050"
"2020 General Election","13032","TOWN OF MADISON - DANE COUNTY","2138","2135","1991","621"
"2020 General Election","13034","TOWN OF MAZOMANIE - DANE COUNTY","341","334","315","66"
"2020 General Election","13036","TOWN OF MEDINA - DANE COUNTY","484","482","413","87"
"2020 General Election","13038","TOWN OF MIDDLETON - DANE COUNTY","3907","3903","3788","1115"
"2020 General Election","13040","TOWN OF MONTROSE - DANE COUNTY","465","465","452","148"
"2020 General Election","13042","TOWN OF OREGON - DANE COUNTY","1734","1732","1692","551"
"2020 General Election","13044","TOWN OF PERRY - DANE COUNTY","252","252","240","47"
"2020 General Election","13046","TOWN OF PLEASANT SPRINGS - DANE COUNTY","1575","1575","1532","506"
"2020 General Election","13048","TOWN OF PRIMROSE - DANE COUNTY","247","244","210","23"
"2020 General Election","13050","TOWN OF ROXBURY - DANE COUNTY","590","589","534","79"
"2020 General Election","13052","TOWN OF RUTLAND - DANE COUNTY","777","774","704","87"
"2020 General Election","13054","TOWN OF SPRINGDALE - DANE COUNTY","955","950","841","206"
"2020 General Election","13056","TOWN OF SPRINGFIELD - DANE COUNTY","1411","1411","1383","566"
"2020 General Election","13058","TOWN OF SUN PRAIRIE - DANE COUNTY","989","986","946","297"
"2020 General Election","13060","TOWN OF VERMONT - DANE COUNTY","368","368","318","27"
"2020 General Election","13062","TOWN OF VERONA - DANE COUNTY","1084","1084","1040","328"
"2020 General Election","13064","TOWN OF VIENNA - DANE COUNTY","602","601","568","138"
"2020 General Election","13066","TOWN OF WESTPORT - DANE COUNTY","2414","2409","2308","563"
"2020 General Election","13070","TOWN OF YORK - DANE COUNTY","146","144","131","2"
"2020 General Election","13106","VILLAGE OF BELLEVILLE - MULTIPLE COUNTIES","1106","1106","1037","285"
"2020 General Election","13107","VILLAGE OF BLACK EARTH - DANE COUNTY","543","543","516","155"
"2020 General Election","13108","VILLAGE OF BLUE MOUNDS - DANE COUNTY","331","331","319","112"
"2020 General Election","13109","VILLAGE OF BROOKLYN - MULTIPLE COUNTIES","406","406","384","110"
"2020 General Election","13111","VILLAGE OF CAMBRIDGE - MULTIPLE COUNTIES","779","778","738","120"
"2020 General Election","13112","VILLAGE OF COTTAGE GROVE - DANE COUNTY","3456","3453","3370","972"
"2020 General Election","13113","VILLAGE OF CROSS PLAINS - DANE COUNTY","1888","1887","1813","591"
"2020 General Election","13116","VILLAGE OF DANE - DANE COUNTY","340","327","321","68"
"2020 General Election","13117","VILLAGE OF DEERFIELD - DANE COUNTY","817","815","700","108"
"2020 General Election","13118","VILLAGE OF DEFOREST - DANE COUNTY","5028","5026","4856","1335"
"2020 General Election","13151","VILLAGE OF MAPLE BLUFF - DANE COUNTY","835","835","787","204"
"2020 General Election","13152","VILLAGE OF MARSHALL - DANE COUNTY","1133","1132","1074","295"
"2020 General Election","13153","VILLAGE OF MAZOMANIE - DANE COUNTY","650","649","621","79"
"2020 General Election","13154","VILLAGE OF MCFARLAND - DANE COUNTY","5009","5007","4902","1656"
"2020 General Election","13157","VILLAGE OF MOUNT HOREB - DANE COUNTY","3509","3501","3347","968"
"2020 General Election","13165","VILLAGE OF OREGON - DANE COUNTY","5681","5679","5538","1650"
"2020 General Election","13176","VILLAGE OF ROCKDALE - DANE COUNTY","45","45","38","1"
"2020 General Election","13181","VILLAGE OF SHOREWOOD HILLS - DANE COUNTY","1488","1488","1439","105"
"2020 General Election","13191","VILLAGE OF WAUNAKEE - DANE COUNTY","7766","7763","7535","2046"
"2020 General Election","13196","VILLAGE OF WINDSOR - DANE COUNTY","4011","4011","3827","1016"
"2020 General Election","13225","CITY OF FITCHBURG - DANE COUNTY","13473","13466","12980","2974"
"2020 General Election","13251","CITY OF MADISON - DANE COUNTY","128905","128842","121322","26256"
"2020 General Election","13255","CITY OF MIDDLETON - DANE COUNTY","11510","11504","11136","1700"
"2020 General Election","13258","CITY OF MONONA - DANE COUNTY","4878","4877","4678","1263"
"2020 General Election","13281","CITY OF STOUGHTON - DANE COUNTY","5986","5979","5698","1269"
"2020 General Election","13282","CITY OF SUN PRAIRIE - DANE COUNTY","17342","17334","16749","4813"
"2020 General Election","13286","CITY OF VERONA - DANE COUNTY","7312","7311","7066","1908"
"2020 General Election","14002","TOWN OF ASHIPPUN - DODGE COUNTY","997","997","965","532"
"2020 General Election","14004","TOWN OF BEAVER DAM - DODGE COUNTY","1459","1457","1387","404"
"2020 General Election","14006","TOWN OF BURNETT - DODGE COUNTY","125","125","110","13"
"2020 General Election","14008","TOWN OF CALAMUS - DODGE COUNTY","194","194","186","18"
"2020 General Election","14010","TOWN OF CHESTER - DODGE COUNTY","86","86","80","18"
"2020 General Election","14012","TOWN OF CLYMAN - DODGE COUNTY","155","155","144","42"
"2020 General Election","14014","TOWN OF ELBA - DODGE COUNTY","236","236","222","52"
"2020 General Election","14016","TOWN OF EMMET - DODGE COUNTY","412","412","389","160"
"2020 General Election","14018","TOWN OF FOX LAKE - DODGE COUNTY","308","306","285","87"
"2020 General Election","14020","TOWN OF HERMAN - DODGE COUNTY","344","343","334","210"
"2020 General Election","14022","TOWN OF HUBBARD - DODGE COUNTY","496","496","448","183"
"2020 General Election","14024","TOWN OF HUSTISFORD - DODGE COUNTY","346","346","318","120"
"2020 General Election","14026","TOWN OF LEBANON - DODGE COUNTY","487","487","471","241"
"2020 General Election","14028","TOWN OF LEROY - DODGE COUNTY","240","238","198","54"
"2020 General Election","14030","TOWN OF LOMIRA - DODGE COUNTY","245","245","232","100"
"2020 General Election","14032","TOWN OF LOWELL - DODGE COUNTY","246","246","237","75"
"2020 General Election","14034","TOWN OF OAK GROVE - DODGE COUNTY","218","218","196","28"
"2020 General Election","14036","TOWN OF PORTLAND - DODGE COUNTY","196","196","169","21"
"2020 General Election","14038","TOWN OF RUBICON - DODGE COUNTY","859","854","803","446"
"2020 General Election","14040","TOWN OF SHIELDS - DODGE COUNTY","148","148","131","35"
"2020 General Election","14042","TOWN OF THERESA - DODGE COUNTY","241","239","215","121"
"2020 General Election","14044","TOWN OF TRENTON - DODGE COUNTY","257","254","230","32"
"2020 General Election","14046","TOWN OF WESTFORD - DODGE COUNTY","326","326","282","51"
"2020 General Election","14106","VILLAGE OF BROWNSVILLE - DODGE COUNTY","165","165","156","66"
"2020 General Election","14111","VILLAGE OF CLYMAN - DODGE COUNTY","44","44","41","23"
"2020 General Election","14136","VILLAGE OF HUSTISFORD - DODGE COUNTY","251","251","241","112"
"2020 General Election","14141","VILLAGE OF IRON RIDGE - DODGE COUNTY","184","184","170","94"
"2020 General Election","14143","VILLAGE OF KEKOSKEE - DODGE COUNTY","188","187","161","51"
"2020 General Election","14146","VILLAGE OF LOMIRA - DODGE COUNTY","677","676","645","320"
"2020 General Election","14147","VILLAGE OF LOWELL - DODGE COUNTY","33","33","27","2"
"2020 General Election","14161","VILLAGE OF NEOSHO - DODGE COUNTY","103","103","89","36"
"2020 General Election","14176","VILLAGE OF RANDOLPH - MULTIPLE COUNTIES","427","427","405","217"
"2020 General Election","14177","VILLAGE OF REESEVILLE - DODGE COUNTY","84","84","71","11"
"2020 General Election","14186","VILLAGE OF THERESA - DODGE COUNTY","269","269","247","74"
"2020 General Election","14206","CITY OF BEAVER DAM - DODGE COUNTY","4510","4503","4220","1518"
"2020 General Election","14226","CITY OF FOX LAKE - DODGE COUNTY","340","338","317","135"
"2020 General Election","14236","CITY OF HORICON - DODGE COUNTY","1040","1040","992","445"
"2020 General Election","14241","CITY OF JUNEAU - DODGE COUNTY","466","466","431","231"
"2020 General Election","14251","CITY OF MAYVILLE - DODGE COUNTY","1835","1832","1756","913"
"2020 General Election","14292","CITY OF WAUPUN - MULTIPLE COUNTIES","2991","2988","2903","1352"
"2020 General Election","15002","TOWN OF BAILEYS HARBOR - DOOR COUNTY","604","602","582","165"
"2020 General Election","15004","TOWN OF BRUSSELS - DOOR COUNTY","239","235","206","20"
"2020 General Election","15006","TOWN OF CLAY BANKS - DOOR COUNTY","116","115","104","11"
"2020 General Election","15008","TOWN OF EGG HARBOR - DOOR COUNTY","661","661","633","260"
"2020 General Election","15010","TOWN OF FORESTVILLE - DOOR COUNTY","252","249","235","29"
"2020 General Election","15012","TOWN OF GARDNER - DOOR COUNTY","384","383","344","47"
"2020 General Election","15014","TOWN OF GIBRALTAR - DOOR COUNTY","633","632","578","155"
"2020 General Election","15016","TOWN OF JACKSONPORT - DOOR COUNTY","359","359","333","84"
"2020 General Election","15018","TOWN OF LIBERTY GROVE - DOOR COUNTY","1151","1150","1103","368"
"2020 General Election","15020","TOWN OF NASEWAUPEE - DOOR COUNTY","620","614","561","76"
"2020 General Election","15022","TOWN OF SEVASTOPOL - DOOR COUNTY","1569","1567","1522","559"
"2020 General Election","15024","TOWN OF STURGEON BAY - DOOR COUNTY","219","214","195","13"
"2020 General Election","15026","TOWN OF UNION - DOOR COUNTY","286","284","255","45"
"2020 General Election","15028","TOWN OF WASHINGTON - DOOR COUNTY","368","336","320","54"
"2020 General Election","15118","VILLAGE OF EGG HARBOR - DOOR COUNTY","177","177","177","59"
"2020 General Election","15121","VILLAGE OF EPHRAIM - DOOR COUNTY","162","162","145","39"
"2020 General Election","15127","VILLAGE OF FORESTVILLE - DOOR COUNTY","77","77","61","2"
"2020 General Election","15181","VILLAGE OF SISTER BAY - DOOR COUNTY","580","579","547","127"
"2020 General Election","15281","CITY OF STURGEON BAY - DOOR COUNTY","3661","3660","3494","1095"
"2020 General Election","16002","TOWN OF AMNICON - DOUGLAS COUNTY","242","242","210","27"
"2020 General Election","16004","TOWN OF BENNETT - DOUGLAS COUNTY","178","174","152","17"
"2020 General Election","16006","TOWN OF BRULE - DOUGLAS COUNTY","182","182","157","25"
"2020 General Election","16008","TOWN OF CLOVERLAND - DOUGLAS COUNTY","29","29","25","3"
"2020 General Election","16010","TOWN OF DAIRYLAND - DOUGLAS COUNTY","39","39","31","3"
"2020 General Election","16012","TOWN OF GORDON - DOUGLAS COUNTY","206","206","169","46"
"2020 General Election","16014","TOWN OF HAWTHORNE - DOUGLAS COUNTY","246","245","160","7"
"2020 General Election","16016","TOWN OF HIGHLAND - DOUGLAS COUNTY","82","82","66","1"
"2020 General Election","16018","TOWN OF LAKESIDE - DOUGLAS COUNTY","128","122","104","14"
"2020 General Election","16020","TOWN OF MAPLE - DOUGLAS COUNTY","143","143","132","15"
"2020 General Election","16022","TOWN OF OAKLAND - DOUGLAS COUNTY","285","285","269","62"
"2020 General Election","16024","TOWN OF PARKLAND - DOUGLAS COUNTY","253","252","221","39"
"2020 General Election","16026","TOWN OF SOLON SPRINGS - DOUGLAS COUNTY","265","265","249","56"
"2020 General Election","16028","TOWN OF SUMMIT - DOUGLAS COUNTY","221","221","204","35"
"2020 General Election","16030","TOWN OF SUPERIOR - DOUGLAS COUNTY","576","576","521","49"
"2020 General Election","16032","TOWN OF WASCOTT - DOUGLAS COUNTY","293","291","269","103"
"2020 General Election","16146","VILLAGE OF LAKE NEBAGAMON - DOUGLAS COUNTY","341","336","291","75"
"2020 General Election","16165","VILLAGE OF OLIVER - DOUGLAS COUNTY","85","85","78","18"
"2020 General Election","16171","VILLAGE OF POPLAR - DOUGLAS COUNTY","114","114","106","28"
"2020 General Election","16181","VILLAGE OF SOLON SPRINGS - DOUGLAS COUNTY","153","151","148","64"
"2020 General Election","16182","VILLAGE OF SUPERIOR - DOUGLAS COUNTY","233","233","218","92"
"2020 General Election","16281","CITY OF SUPERIOR - DOUGLAS COUNTY","7861","7853","7444","1798"
"2020 General Election","17002","TOWN OF COLFAX - DUNN COUNTY","233","232","217","62"
"2020 General Election","17004","TOWN OF DUNN - DUNN COUNTY","350","350","345","74"
"2020 General Election","17006","TOWN OF EAU GALLE - DUNN COUNTY","158","158","113","14"
"2020 General Election","17008","TOWN OF ELK MOUND - DUNN COUNTY","412","409","327","42"
"2020 General Election","17010","TOWN OF GRANT - DUNN COUNTY","70","69","60","17"
"2020 General Election","17012","TOWN OF HAY RIVER - DUNN COUNTY","89","87","71","4"
"2020 General Election","17014","TOWN OF LUCAS - DUNN COUNTY","108","108","85","6"
"2020 General Election","17016","TOWN OF MENOMONIE - DUNN COUNTY","912","911","859","127"
"2020 General Election","17018","TOWN OF NEW HAVEN - DUNN COUNTY","77","77","57","6"
"2020 General Election","17020","TOWN OF OTTER CREEK - DUNN COUNTY","94","93","80","15"
"2020 General Election","17022","TOWN OF PERU - DUNN COUNTY","43","41","40","0"
"2020 General Election","17024","TOWN OF RED CEDAR - DUNN COUNTY","604","603","547","81"
"2020 General Election","17026","TOWN OF ROCK CREEK - DUNN COUNTY","168","167","147","42"
"2020 General Election","17028","TOWN OF SAND CREEK - DUNN COUNTY","85","85","70","13"
"2020 General Election","17030","TOWN OF SHERIDAN - DUNN COUNTY","52","52","38","9"
"2020 General Election","17032","TOWN OF SHERMAN - DUNN COUNTY","192","190","162","27"
"2020 General Election","17034","TOWN OF SPRING BROOK - DUNN COUNTY","424","412","379","127"
"2020 General Election","17036","TOWN OF STANTON - DUNN COUNTY","151","151","128","13"
"2020 General Election","17038","TOWN OF TAINTER - DUNN COUNTY","745","743","704","240"
"2020 General Election","17040","TOWN OF TIFFANY - DUNN COUNTY","89","89","73","14"
"2020 General Election","17042","TOWN OF WESTON - DUNN COUNTY","88","88","71","4"
"2020 General Election","17044","TOWN OF WILSON - DUNN COUNTY","64","63","61","4"
"2020 General Election","17106","VILLAGE OF BOYCEVILLE - DUNN COUNTY","152","152","140","31"
"2020 General Election","17111","VILLAGE OF COLFAX - DUNN COUNTY","247","246","227","56"
"2020 General Election","17116","VILLAGE OF DOWNING - DUNN COUNTY","15","14","11","0"
"2020 General Election","17121","VILLAGE OF ELK MOUND - DUNN COUNTY","161","161","135","15"
"2020 General Election","17141","VILLAGE OF KNAPP - DUNN COUNTY","63","59","59","13"
"2020 General Election","17176","VILLAGE OF RIDGELAND - DUNN COUNTY","13","13","12","4"
"2020 General Election","17191","VILLAGE OF WHEELER - DUNN COUNTY","26","26","14","1"
"2020 General Election","17251","CITY OF MENOMONIE - DUNN COUNTY","4045","4042","3783","1210"
"2020 General Election","18002","TOWN OF BRIDGE CREEK - EAU CLAIRE COUNTY","280","278","246","69"
"2020 General Election","18004","TOWN OF BRUNSWICK - EAU CLAIRE COUNTY","532","532","483","88"
"2020 General Election","18006","TOWN OF CLEAR CREEK - EAU CLAIRE COUNTY","133","132","98","13"
"2020 General Election","18008","TOWN OF DRAMMEN - EAU CLAIRE COUNTY","155","155","128","8"
"2020 General Election","18010","TOWN OF FAIRCHILD - EAU CLAIRE COUNTY","54","54","37","4"
"2020 General Election","18012","TOWN OF LINCOLN - EAU CLAIRE COUNTY","279","273","188","52"
"2020 General Election","18014","TOWN OF LUDINGTON - EAU CLAIRE COUNTY","192","192","159","58"
"2020 General Election","18016","TOWN OF OTTER CREEK - EAU CLAIRE COUNTY","56","55","37","3"
"2020 General Election","18018","TOWN OF PLEASANT VALLEY - EAU CLAIRE COUNTY","1321","1320","1271","404"
"2020 General Election","18020","TOWN OF SEYMOUR - EAU CLAIRE COUNTY","1321","1321","1276","670"
"2020 General Election","18022","TOWN OF UNION - EAU CLAIRE COUNTY","949","945","806","201"
"2020 General Election","18024","TOWN OF WASHINGTON - EAU CLAIRE COUNTY","3339","3339","3245","1451"
"2020 General Election","18026","TOWN OF WILSON - EAU CLAIRE COUNTY","45","45","29","0"
"2020 General Election","18126","VILLAGE OF FAIRCHILD - EAU CLAIRE COUNTY","46","44","36","7"
"2020 General Election","18127","VILLAGE OF FALL CREEK - EAU CLAIRE COUNTY","369","341","306","131"
"2020 General Election","18201","CITY OF ALTOONA - EAU CLAIRE COUNTY","3097","3094","2970","1104"
"2020 General Election","18202","CITY OF AUGUSTA - EAU CLAIRE COUNTY","285","282","257","73"
"2020 General Election","18221","CITY OF EAU CLAIRE - MULTIPLE COUNTIES","23283","23272","22171","8853"
"2020 General Election","19002","TOWN OF AURORA - FLORENCE COUNTY","27","0","0",""
"2020 General Election","19004","TOWN OF COMMONWEALTH - FLORENCE COUNTY","101","101","85","0"
"2020 General Election","19006","TOWN OF FENCE - FLORENCE COUNTY","44","44","35","2"
"2020 General Election","19008","TOWN OF FERN - FLORENCE COUNTY","63","23","19","0"
"2020 General Election","19010","TOWN OF FLORENCE - FLORENCE COUNTY","781","781","734","126"
"2020 General Election","19012","TOWN OF HOMESTEAD - FLORENCE COUNTY","113","113","91","0"
"2020 General Election","19014","TOWN OF LONG LAKE - FLORENCE COUNTY","57","57","51","4"
"2020 General Election","19016","TOWN OF TIPLER - FLORENCE COUNTY","36","36","36","4"
"2020 General Election","20002","TOWN OF ALTO - FOND DU LAC COUNTY","155","139","129","34"
"2020 General Election","20004","TOWN OF ASHFORD - FOND DU LAC COUNTY","398","395","347","49"
"2020 General Election","20006","TOWN OF AUBURN - FOND DU LAC COUNTY","744","743","687","269"
"2020 General Election","20008","TOWN OF BYRON - FOND DU LAC COUNTY","384","366","335","57"
"2020 General Election","20010","TOWN OF CALUMET - FOND DU LAC COUNTY","365","355","304","44"
"2020 General Election","20012","TOWN OF EDEN - FOND DU LAC COUNTY","295","277","221","27"
"2020 General Election","20014","TOWN OF ELDORADO - FOND DU LAC COUNTY","313","305","256","53"
"2020 General Election","20016","TOWN OF EMPIRE - FOND DU LAC COUNTY","892","851","702","93"
"2020 General Election","20018","TOWN OF FOND DU LAC - FOND DU LAC COUNTY","1569","1562","1462","469"
"2020 General Election","20020","TOWN OF FOREST - FOND DU LAC COUNTY","185","177","175","28"
"2020 General Election","20022","TOWN OF FRIENDSHIP - FOND DU LAC COUNTY","667","664","638","0"
"2020 General Election","20024","TOWN OF LAMARTINE - FOND DU LAC COUNTY","489","468","396","52"
"2020 General Election","20026","TOWN OF MARSHFIELD - FOND DU LAC COUNTY","278","265","250","35"
"2020 General Election","20028","TOWN OF METOMEN - FOND DU LAC COUNTY","107","103","94","3"
"2020 General Election","20030","TOWN OF OAKFIELD - FOND DU LAC COUNTY","137","134","120","10"
"2020 General Election","20032","TOWN OF OSCEOLA - FOND DU LAC COUNTY","604","601","587","338"
"2020 General Election","20034","TOWN OF RIPON - FOND DU LAC COUNTY","419","417","402","144"
"2020 General Election","20036","TOWN OF ROSENDALE - FOND DU LAC COUNTY","150","149","134","33"
"2020 General Election","20038","TOWN OF SPRINGVALE - FOND DU LAC COUNTY","123","117","99","13"
"2020 General Election","20040","TOWN OF TAYCHEEDAH - FOND DU LAC COUNTY","1993","1985","1891","774"
"2020 General Election","20042","TOWN OF WAUPUN - FOND DU LAC COUNTY","341","337","305","118"
"2020 General Election","20106","VILLAGE OF BRANDON - FOND DU LAC COUNTY","174","170","163","46"
"2020 General Election","20111","VILLAGE OF CAMPBELLSPORT - FOND DU LAC COUNTY","504","494","455","255"
"2020 General Election","20121","VILLAGE OF EDEN - FOND DU LAC COUNTY","179","171","137","31"
"2020 General Election","20126","VILLAGE OF FAIRWATER - FOND DU LAC COUNTY","30","30","28","3"
"2020 General Election","20151","VILLAGE OF MOUNT CALVARY - FOND DU LAC COUNTY","85","85","76","4"
"2020 General Election","20161","VILLAGE OF NORTH FOND DU LAC - FOND DU LAC COUNTY","1462","1457","1368","495"
"2020 General Election","20165","VILLAGE OF OAKFIELD - FOND DU LAC COUNTY","234","234","213","84"
"2020 General Election","20176","VILLAGE OF ROSENDALE - FOND DU LAC COUNTY","277","274","263","127"
"2020 General Election","20181","VILLAGE OF ST. CLOUD - FOND DU LAC COUNTY","78","73","59","3"
"2020 General Election","20226","CITY OF FOND DU LAC - FOND DU LAC COUNTY","12478","12470","11772","3808"
"2020 General Election","20276","CITY OF RIPON - FOND DU LAC COUNTY","2318","2311","2201","803"
"2020 General Election","21002","TOWN OF ALVIN - FOREST COUNTY","37","36","20","2"
"2020 General Election","21004","TOWN OF ARGONNE - FOREST COUNTY","96","93","75","9"
"2020 General Election","21006","TOWN OF ARMSTRONG CREEK - FOREST COUNTY","89","89","65","8"
"2020 General Election","21008","TOWN OF BLACKWELL - FOREST COUNTY","15","15","12","4"
"2020 General Election","21010","TOWN OF CASWELL - FOREST COUNTY","10","10","10","3"
"2020 General Election","21012","TOWN OF CRANDON - FOREST COUNTY","97","96","79","1"
"2020 General Election","21014","TOWN OF FREEDOM - FOREST COUNTY","91","90","81","3"
"2020 General Election","21016","TOWN OF HILES - FOREST COUNTY","164","164","146","29"
"2020 General Election","21018","TOWN OF LAONA - FOREST COUNTY","280","279","260","62"
"2020 General Election","21020","TOWN OF LINCOLN - FOREST COUNTY","276","274","241","40"
"2020 General Election","21022","TOWN OF NASHVILLE - FOREST COUNTY","224","224","185","25"
"2020 General Election","21024","TOWN OF POPPLE RIVER - FOREST COUNTY","14","14","12","5"
"2020 General Election","21026","TOWN OF ROSS - FOREST COUNTY","15","15","2","2"
"2020 General Election","21028","TOWN OF WABENO - FOREST COUNTY","137","134","114","14"
"2020 General Election","21211","CITY OF CRANDON - FOREST COUNTY","349","349","287","0"
"2020 General Election","22002","TOWN OF BEETOWN - GRANT COUNTY","111","108","104","37"
"2020 General Election","22004","TOWN OF BLOOMINGTON - GRANT COUNTY","62","62","56","2"
"2020 General Election","22006","TOWN OF BOSCOBEL - GRANT COUNTY","57","56","47","0"
"2020 General Election","22008","TOWN OF CASSVILLE - GRANT COUNTY","43","40","40","6"
"2020 General Election","22010","TOWN OF CASTLE ROCK - GRANT COUNTY","41","41","41","3"
"2020 General Election","22012","TOWN OF CLIFTON - GRANT COUNTY","38","38","38","3"
"2020 General Election","22014","TOWN OF ELLENBORO - GRANT COUNTY","103","103","95","23"
"2020 General Election","22016","TOWN OF FENNIMORE - GRANT COUNTY","76","76","65","1"
"2020 General Election","22018","TOWN OF GLEN HAVEN - GRANT COUNTY","28","27","25","7"
"2020 General Election","22020","TOWN OF HARRISON - GRANT COUNTY","95","91","69","0"
"2020 General Election","22022","TOWN OF HAZEL GREEN - GRANT COUNTY","375","374","331","0"
"2020 General Election","22024","TOWN OF HICKORY GROVE - GRANT COUNTY","28","22","21","0"
"2020 General Election","22026","TOWN OF JAMESTOWN - GRANT COUNTY","614","612","495","29"
"2020 General Election","22028","TOWN OF LIBERTY - GRANT COUNTY","46","45","35","1"
"2020 General Election","22030","TOWN OF LIMA - GRANT COUNTY","149","148","124","16"
"2020 General Election","22032","TOWN OF LITTLE GRANT - GRANT COUNTY","32","32","24","4"
"2020 General Election","22034","TOWN OF MARION - GRANT COUNTY","90","89","62","1"
"2020 General Election","22036","TOWN OF MILLVILLE - GRANT COUNTY","25","25","17","4"
"2020 General Election","22038","TOWN OF MOUNT HOPE - GRANT COUNTY","18","18","14","3"
"2020 General Election","22040","TOWN OF MOUNT IDA - GRANT COUNTY","79","74","68","7"
"2020 General Election","22042","TOWN OF MUSCODA - GRANT COUNTY","81","79","61","0"
"2020 General Election","22044","TOWN OF NORTH LANCASTER - GRANT COUNTY","116","115","90","4"
"2020 General Election","22046","TOWN OF PARIS - GRANT COUNTY","141","140","128","14"
"2020 General Election","22048","TOWN OF PATCH GROVE - GRANT COUNTY","40","40","28","0"
"2020 General Election","22050","TOWN OF PLATTEVILLE - GRANT COUNTY","405","399","331","23"
"2020 General Election","22052","TOWN OF POTOSI - GRANT COUNTY","153","153","127","21"
"2020 General Election","22054","TOWN OF SMELSER - GRANT COUNTY","190","190","170","19"
"2020 General Election","22056","TOWN OF SOUTH LANCASTER - GRANT COUNTY","121","113","102","14"
"2020 General Election","22058","TOWN OF WATERLOO - GRANT COUNTY","58","58","50","10"
"2020 General Election","22060","TOWN OF WATTERSTOWN - GRANT COUNTY","46","46","37","4"
"2020 General Election","22062","TOWN OF WINGVILLE - GRANT COUNTY","74","73","52","3"
"2020 General Election","22064","TOWN OF WOODMAN - GRANT COUNTY","24","24","21","8"
"2020 General Election","22066","TOWN OF WYALUSING - GRANT COUNTY","47","47","37","0"
"2020 General Election","22106","VILLAGE OF BAGLEY - GRANT COUNTY","55","54","50","2"
"2020 General Election","22107","VILLAGE OF BLOOMINGTON - GRANT COUNTY","128","125","115","37"
"2020 General Election","22108","VILLAGE OF BLUE RIVER - GRANT COUNTY","79","78","69","10"
"2020 General Election","22111","VILLAGE OF CASSVILLE - GRANT COUNTY","221","220","188","91"
"2020 General Election","22116","VILLAGE OF DICKEYVILLE - GRANT COUNTY","267","266","228","66"
"2020 General Election","22136","VILLAGE OF HAZEL GREEN - MULTIPLE COUNTIES","307","292","285","101"
"2020 General Election","22147","VILLAGE OF LIVINGSTON - MULTIPLE COUNTIES","115","115","98","16"
"2020 General Election","22151","VILLAGE OF MONTFORT - MULTIPLE COUNTIES","120","117","106","10"
"2020 General Election","22152","VILLAGE OF MOUNT HOPE - GRANT COUNTY","28","27","24","1"
"2020 General Election","22153","VILLAGE OF MUSCODA - MULTIPLE COUNTIES","258","258","248","50"
"2020 General Election","22171","VILLAGE OF PATCH GROVE - GRANT COUNTY","24","23","22","7"
"2020 General Election","22172","VILLAGE OF POTOSI - GRANT COUNTY","140","136","119","19"
"2020 General Election","22186","VILLAGE OF TENNYSON - GRANT COUNTY","47","47","37","5"
"2020 General Election","22191","VILLAGE OF WOODMAN - GRANT COUNTY","13","12","11","0"
"2020 General Election","22206","CITY OF BOSCOBEL - GRANT COUNTY","547","544","473","50"
"2020 General Election","22211","CITY OF CUBA CITY - MULTIPLE COUNTIES","548","547","521","110"
"2020 General Election","22226","CITY OF FENNIMORE - GRANT COUNTY","715","708","645","95"
"2020 General Election","22246","CITY OF LANCASTER - GRANT COUNTY","1266","1265","1219","581"
"2020 General Election","22271","CITY OF PLATTEVILLE - GRANT COUNTY","3062","3058","2909","1120"
"2020 General Election","23002","TOWN OF ADAMS - GREEN COUNTY","90","90","70","2"
"2020 General Election","23004","TOWN OF ALBANY - GREEN COUNTY","276","276","201","16"
"2020 General Election","23006","TOWN OF BROOKLYN - GREEN COUNTY","381","381","365","97"
"2020 General Election","23008","TOWN OF CADIZ - GREEN COUNTY","199","199","195","82"
"2020 General Election","23010","TOWN OF CLARNO - GREEN COUNTY","197","193","162","17"
"2020 General Election","23012","TOWN OF DECATUR - GREEN COUNTY","419","418","405","128"
"2020 General Election","23014","TOWN OF EXETER - GREEN COUNTY","816","815","800","310"
"2020 General Election","23016","TOWN OF JEFFERSON - GREEN COUNTY","175","175","153","18"
"2020 General Election","23018","TOWN OF JORDAN - GREEN COUNTY","105","105","94","13"
"2020 General Election","23020","TOWN OF MONROE - GREEN COUNTY","305","304","292","50"
"2020 General Election","23022","TOWN OF MOUNT PLEASANT - GREEN COUNTY","138","138","128","7"
"2020 General Election","23024","TOWN OF NEW GLARUS - GREEN COUNTY","567","567","507","107"
"2020 General Election","23026","TOWN OF SPRING GROVE - GREEN COUNTY","138","138","133","0"
"2020 General Election","23028","TOWN OF SYLVESTER - GREEN COUNTY","229","229","200","23"
"2020 General Election","23030","TOWN OF WASHINGTON - GREEN COUNTY","198","196","179","31"
"2020 General Election","23032","TOWN OF YORK - GREEN COUNTY","275","275","245","34"
"2020 General Election","23101","VILLAGE OF ALBANY - GREEN COUNTY","161","161","151","50"
"2020 General Election","23110","VILLAGE OF BROWNTOWN - GREEN COUNTY","50","50","42","6"
"2020 General Election","23151","VILLAGE OF MONTICELLO - GREEN COUNTY","337","336","308","98"
"2020 General Election","23161","VILLAGE OF NEW GLARUS - GREEN COUNTY","904","904","869","212"
"2020 General Election","23206","CITY OF BRODHEAD - MULTIPLE COUNTIES","788","777","734","346"
